username,price,avg_likes,avg_comments,followers
6taeea52,165000,5747.4,148.5,580468
Maghze.baaz,440000,8650.7,296.6,542868
karimbagheri6,198000,10137.7,246.8,577778
bamanbedooz,143000,3390.6,56.0,567221
_baft_mo,275000,18060.8,88.2,579303
taj.kabire.asia,44000,1935.1,190.1,572453
Armiin_elikaei70,2200000,113483.4,10976.8,2667888
filmbilm,330000,355.9,8.1,635787
neveshte.royai,440000,48554.4,424.7,596539
Iran_specific_cars,440000,7933.2,191.7,563161
Zendegi_daneshjooyi,247500,11680.7,158.5,555015
Nabayad_mikhandim,297000,42951.3,448.4,713243
Kb_sher,440000,3728.0,25.7,588622
Tabriz_tanz,231000,6809.3,216.6,698249
clip_axmaxbax,165000,3659.6,221.6,560257
Havades_news,275000,6555.0,239.4,543521
Hichismi,385000,12785.2,93.5,699433
gravity_lyrics,475200,1695.8,15.5,537522
Pias_sport,220000,5830.3,75.5,535105
danstani__pezeshki,330000,7812.8,70.7,603658
Luxedrives,495000,16687.6,482.0,533420
turktanzz,242000,5093.3,60.6,528405
lorazpam_0rg,110000,610.7,50.3,538683
caset_ir,99000,480.3,10.2,521290
mani_wizart,1100000,15647.9,373.9,486026
Mojeze.zehn.arezoozare,990000,2224.3,94.3,512510
amozesh.cake,440000,14001.4,474.4,524097
shaaadshooo,220000,4776.9,38.1,521360
Lebasmajlesi.model,165000,3666.3,35.2,522645
Fcperspolis,198000,6084.3,122.9,519079
Paytakht.6,275000,4082.7,54.9,924179
Myg0d,209000,20365.4,1337.1,769731
tanzeirann,165000,4852.4,123.8,526156
Ttsh_world,132000,393.5,40.9,513728
Funny_tek,143000,3181.8,42.4,514594
rfoze,440000,11461.3,183.1,512700
roozgasht,209000,17048.8,247.4,1209503
salamati_injaast,220000,2513.0,21.1,510156
Raazmedia,213400,6027.9,91.0,625998
Fun_tur,232100,11587.5,117.7,700089
funy_fast,165000,4977.5,47.2,560237
architecturementality,110000,367.2,4.4,502781
Khaterat_dirooz,517000,20400.9,502.7,507931
ritme.music,110000,6784.3,156.2,557045
unco_mag,297000,3379.9,73.0,591581
