username,avg_likes,avg_comments,followers,price
Soorikhand,4499.4,99.2,326822,66000
vaghte_yadgiri,2807.2,67.3,412665,110000
Aroose_malih,1103.4,22.6,282746,36300
siasathaye_zanane,3496.2,79.7,283111,187000
maral.food,3765.0,235.9,268698,110000
Majale_roz,9.7,0.8,300526,22000
MHRBAHMDI,137923.6,22807.2,1177825,440000
ir.aroos.center,434.0,6.1,274691,132000
music.video.pershia,1630.5,21.6,284010,66000
trocaj,2097.0,20.7,272119,66000
Shahla968,4927.9,50.6,276877,209000
tanzeirann,4852.4,123.8,526156,165000
matbakhe_khatoon,1195.4,25.9,272413,132000
architectural_design,319.0,2.5,50804,64900
206a,5340.0,146.5,283070,154000
zarintv,16755.8,151.2,335484,33000
kamiyondaran,4690.7,141.2,278373,198000
Doctor.neda,2346.6,36.5,270724,143000
Videocliporg,914.4,18.8,275347,275000
Mum_baby_food,1875.7,68.4,279340,220000
Hashemirafsnjani.ir,1747.8,44.2,263973,220000
textaban,5575.1,21.1,277705,935000
Zane_shikposh,905.0,27.0,270991,44000
khoshmazeha_,449.0,20.7,253298,110000
cilip_rooz,2767.7,95.4,274645,209000
vigiatonet,4953.3,204.4,296033,1870000
tanz.manz,2480.2,44.7,257372,165000
dokhii_art,809.7,35.1,263773,66000
naserbabakhanlooo,8604.2,400.1,357100,220000
ghahvetalkh.fanpage,5152.9,35.7,240115,82500
iranplantoriginal,3713.3,33.4,262477,165000
Kandushaqi,10450.1,162.2,350768,143000
behmusiiic,3338.9,70.0,282426,165000
Mosbato_bahal,1718.4,13.4,260206,132000
khaneyeh_eshgh,682.3,94.9,261483,44000
Science_technology_world,13915.5,303.7,269977,330000
Matnesmi,1.0,0.0,16,165000
Memesgraphy,2979.7,26.1,259382,330000
Tania_food,4628.7,698.0,250574,275000
clip_shad__,1530.9,38.0,257301,99000
elhamhamidiiiiii,1220.9,33.6,265016,22000
makeupvideos_zibaii,888.0,12.3,281271,49500
music.sabz,1425.5,9.9,258874,77000
Ashpazi_ba_bartarinha,14662.7,199.7,280681,165000
deltangi.dokhtarone,7962.6,361.2,262442,220000
clippp33,1063.5,11.3,8650,66000
Mode.graphy,7623.3,180.2,249881,209000
weekfact,217.0,5.3,258689,14300
Khabar_truck,9117.1,268.8,273039,330000
dialogue.mandegar,4508.9,41.2,258019,66000
ashpazi_vatani,873.6,32.3,240002,110000
naghashi_koodakesalem,1352.8,8.5,254127,99000
Moshavereh_steve,9468.6,137.2,333258,88000
shahinikoo,11074.1,1086.3,235001,165000
Per_facts,1569.5,21.6,249792,77000
Miniongraphy,3855.2,34.0,245434,99000
Pishdabestan.rahmat,3013.7,76.0,252007,330000
Zhest_naab,37.6,0.1,5568,27500
Ir.danestani,11547.3,128.1,213637,121000
english__education,1950.3,60.6,253821,49500
banoye_ashpazz,1555.3,20.9,262384,220000
pokhto.pazz,1349.5,16.7,262855,143000
musiczik,7770.8,48.7,254467,330000
Dr.sarraa,2343.2,29.7,247999,165000
honarmandan__tanz,926.1,13.7,289966,44000
Naghashi.koodakane,1307.2,11.0,253634,96800
Tehran._.news,1153.3,47.3,253132,88000
Fact_macting,1139.4,80.9,262582,33000
pelak_arvand,4508.7,135.1,248990,55000
Text_hidden,4574.0,63.6,244750,44000
iran_top_cars,7430.2,163.6,249772,242000
tarahi_dokht_khanomii,796.6,5.8,250717,38500
caafe.music,1466.2,14.4,246617,88000
kardasti_koodakaneh,2330.2,25.7,252882,110000
Nasir.baloch68,12434.3,429.0,248831,16500
parsabad_today,8665.4,433.2,265336,330000
clip_kade3,674.6,48.5,244085,55000
videokadeh.tarfand,2072.0,46.8,265936,110000
farzandnet,3420.6,106.6,239338,220000
Nabz_zendegi,2497.7,180.2,245436,107800
perspolis.fanz,3577.8,46.7,235618,110000
Khandaloo_oo,3268.7,19.6,264749,96800
Just__zhele,776.6,9.7,233630,61600
saeed.mentalist,5390.0,200.2,245047,5500000
Tanz.clip.ir,7478.3,83.5,374930,36300
1alisadeghian,6789.4,672.7,370174,770000
kootah_boland,5430.7,116.5,240836,165000
radicalfact,1014.8,30.6,230326,154000
animationfa,4600.3,38.0,238837,330000
baran_musical,1844.2,31.4,244306,27500
Tavalod_irani,2700.6,43.3,233636,93500
Pokidam.az.khande,1430.5,19.6,234101,146300
Fitness.pars,5166.4,50.7,315711,110000
Maragheh_az,4556.1,81.0,294785,275000
majaleye_ashpazi_khob,499.1,28.0,230788,110000
Parvaz.Nili,3016.8,19.2,240391,88000
faceless_facts,10348.2,87.7,212392,99000
ashpazi.golchin,766.4,15.0,235899,44000
dali_bazar_tabriz,5778.7,62.1,334480,110000
afkar_khis,1745.1,39.2,233313,110000
Tarfande_khanedari,2984.3,50.1,241592,176000
histoo.mag,712.6,20.4,228262,44000
cinemanews,14.7,5.7,312258,367400
Iranian._.news,815.7,18.3,238725,55000
sajadnazariifar11,4499.6,82.7,271442,110000
Ashpazi_kadbanoha,1658.2,22.3,236162,110000
artist.irani,6.1,0.1,189235,33000
sirkhandkade,3819.4,19.0,250354,55000
_zibaeeeeee,1570.6,49.8,229732,55000
zhabizart,6314.4,52.3,230678,220000
shiriin_assal,2289.0,20.9,229267,99000
banooyenemoone2,4781.1,57.0,239773,77000
Anything_interesting2,6049.0,99.9,241168,33000
clip_ashpazi_irani,1107.5,37.5,220848,110000
engareh__,98.3,6.6,186923,88000
tajclub1945,890.2,149.3,248716,88000
kafe_zendegii,6.8,0.2,703,38500
Terazhdi,17647.2,214.1,614420,297000
Energy_mosbat_angizeh,1961.8,98.2,231763,115500
